TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_NAME_y,GP_y,W_y,L_y,W_PCT_y,MIN_y,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS_y,GP_RANK_y,W_RANK_y,L_RANK_y,W_PCT_RANK_y,MIN_RANK_y,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK_y,CFID_y,CFPARAMS_y,PLAYOFF_RANKING,SEASON
1610612756,Phoenix Suns,48,17,31,0.354,51.0,39.3,85.6,0.459,5.3,15.8,0.337,20.2,27.0,0.749,12.1,30.4,42.5,24.8,16.2,8.3,3.6,5.2,23.4,0.2,104.1,-2.5,3,20,23,23,26,7,16,10,23,21,24,13,15,9,28,18,26,9,3,24,29,12,10,15,12,19,10,Phoenix Suns,Phoenix Suns,48,17,31,0.354,51.0,39.9,85.7,0.465,7.0,19.3,0.363,19.9,26.6,0.746,12.7,32.2,44.9,25.0,16.8,8.8,5.2,3.6,24.0,23.4,106.6,2.5,3,20,23,23,26,21,14,24,24,21,17,13,11,25,5,26,13,22,22,14,12,29,11,20,21,19,10,Phoenix Suns,0,1996-97
1610612755,Philadelphia 76ers,46,12,34,0.261,49.8,36.7,84.7,0.433,5.9,18.6,0.32,21.6,30.2,0.714,15.9,30.1,46.0,20.9,19.0,8.8,5.0,5.9,21.8,0.0,100.9,-6.3,18,26,26,26,28,29,20,25,18,12,28,6,4,23,3,22,9,27,28,16,18,20,4,28,26,27,10,Philadelphia 76ers,Philadelphia 76ers,46,12,34,0.261,49.8,40.7,87.4,0.466,6.9,19.3,0.357,18.9,26.2,0.721,14.4,30.4,44.8,25.6,16.4,10.4,5.9,5.0,25.6,21.8,107.2,6.3,18,26,26,26,28,25,22,25,22,22,13,8,9,7,20,10,12,26,24,29,20,18,25,26,26,27,10,Philadelphia 76ers,0,1996-97
1610612753,Orlando Magic,44,24,20,0.545,53.5,37.5,87.2,0.43,6.8,20.4,0.334,19.1,26.5,0.722,15.2,30.2,45.4,22.5,18.0,8.7,4.9,6.3,22.8,0.1,100.9,-1.5,27,13,11,11,6,26,5,26,11,8,27,23,18,20,4,20,11,20,21,18,20,25,5,19,25,16,10,Orlando Magic,Orlando Magic,44,24,20,0.545,53.5,39.6,86.5,0.458,5.3,15.8,0.339,17.9,25.0,0.715,14.1,32.1,46.2,23.7,17.4,10.2,6.3,4.9,24.6,22.8,102.5,1.5,27,13,11,11,6,20,18,19,2,5,4,6,7,4,17,25,25,18,15,27,25,20,19,25,13,16,10,Orlando Magic,0,1996-97
1610612752,New York Knicks,48,34,14,0.708,52.0,38.1,82.9,0.459,6.2,17.0,0.368,19.7,26.3,0.75,13.5,32.7,46.3,23.7,20.0,8.7,5.4,3.9,26.9,0.1,102.1,3.8,3,4,5,5,19,17,29,7,15,20,7,17,20,8,16,5,7,13,29,17,14,3,28,22,19,9,10,New York Knicks,New York Knicks,48,34,14,0.708,52.0,34.4,81.0,0.425,6.6,18.4,0.36,22.9,31.5,0.726,11.7,29.3,41.0,20.9,19.0,9.9,3.9,5.4,24.2,26.9,98.3,-3.8,3,4,5,5,19,1,2,2,16,15,15,26,28,12,1,2,2,3,3,25,3,14,13,2,2,9,10,New York Knicks,0,1996-97
1610612751,New Jersey Nets,46,13,33,0.283,50.6,37.4,90.9,0.412,6.0,17.8,0.335,19.1,26.1,0.733,18.4,30.0,48.5,22.1,16.8,9.0,7.0,6.8,24.2,0.1,100.0,-6.2,18,25,25,25,27,27,2,29,17,17,25,22,22,17,1,23,1,21,9,13,3,28,15,20,28,26,10,New Jersey Nets,New Jersey Nets,46,13,33,0.283,50.6,39.2,84.4,0.465,6.2,16.3,0.379,21.6,29.1,0.742,13.6,32.2,45.8,23.8,16.9,8.7,6.8,7.0,22.8,24.2,106.2,6.2,18,25,25,25,27,16,7,23,12,8,26,22,22,22,14,27,24,19,20,12,28,3,4,15,20,26,10,New Jersey Nets,0,1996-97
1610612749,Milwaukee Bucks,47,21,26,0.447,53.2,39.9,84.8,0.471,4.2,12.2,0.341,21.3,28.7,0.741,13.4,31.2,44.6,21.0,17.1,8.4,4.5,4.9,24.8,0.2,105.3,0.3,13,17,18,17,8,4,19,3,29,29,22,8,8,12,18,12,15,26,13,22,22,7,20,12,10,13,10,Milwaukee Bucks,Milwaukee Bucks,47,21,26,0.447,53.2,40.1,85.5,0.469,4.7,14.0,0.338,20.1,28.3,0.711,13.1,29.6,42.7,23.3,16.0,8.9,4.9,4.5,24.5,24.8,105.0,-0.3,13,17,18,17,8,22,12,26,1,1,3,16,19,1,8,4,4,12,25,16,7,22,18,10,16,13,10,Milwaukee Bucks,0,1996-97
1610612738,Boston Celtics,46,11,35,0.239,49.7,38.5,87.0,0.443,4.9,14.1,0.349,19.3,25.9,0.747,13.6,27.7,41.3,21.8,17.1,10.5,4.2,6.9,23.9,0.2,101.3,-5.4,18,27,28,28,29,13,7,20,24,24,19,20,23,10,13,29,29,24,12,2,26,29,14,17,22,24,10,Boston Celtics,Boston Celtics,46,11,35,0.239,49.7,40.5,82.8,0.489,6.1,16.9,0.359,19.6,27.5,0.713,12.6,33.1,45.7,25.4,19.0,8.5,6.9,4.2,22.6,23.9,106.8,5.4,18,27,28,28,29,24,5,29,10,10,14,11,16,3,3,28,23,25,4,10,29,26,3,16,23,24,10,Boston Celtics,0,1996-97
1610612748,Miami Heat,48,36,12,0.75,53.7,37.6,83.6,0.449,8.6,23.9,0.361,19.7,27.8,0.709,12.9,33.0,46.0,22.7,18.3,8.4,6.5,5.4,26.1,0.2,103.5,5.6,3,2,2,2,5,24,26,17,2,2,11,18,12,25,23,4,8,17,24,23,5,13,24,6,13,6,10,Miami Heat,Miami Heat,48,36,12,0.75,53.7,35.7,84.5,0.423,5.5,15.1,0.361,21.0,28.2,0.745,13.6,31.3,44.9,20.3,18.0,9.0,5.4,6.5,25.5,26.1,97.9,-5.6,3,2,2,2,5,4,8,1,3,2,16,19,18,24,13,18,15,1,7,18,13,5,24,6,1,6,10,Miami Heat,0,1996-97
1610612747,Los Angeles Lakers,48,35,13,0.729,51.7,39.4,85.9,0.459,6.8,18.5,0.367,20.0,30.7,0.652,14.4,31.9,46.3,24.5,16.5,9.1,7.9,4.5,23.8,0.1,105.6,4.6,3,3,4,4,22,6,14,11,13,13,8,15,3,29,7,10,6,11,5,11,1,5,13,26,7,7,10,Los Angeles Lakers,Los Angeles Lakers,48,35,13,0.729,51.7,37.7,86.4,0.436,6.1,17.9,0.342,19.5,27.4,0.712,14.5,30.8,45.3,24.3,17.2,8.3,4.5,7.9,25.8,23.8,101.0,-4.6,3,3,4,4,22,9,17,9,11,13,7,10,14,2,23,13,20,21,18,6,5,1,26,17,8,7,10,Los Angeles Lakers,0,1996-97
1610612746,Los Angeles Clippers,44,19,25,0.432,52.5,37.7,86.0,0.439,5.5,15.5,0.354,20.6,28.0,0.736,14.2,29.6,43.8,20.4,18.3,9.6,5.6,5.8,26.7,0.2,101.5,-2.4,27,19,15,18,12,22,13,22,21,22,18,10,9,15,9,25,20,28,23,5,12,17,27,11,21,18,10,Los Angeles Clippers,Los Angeles Clippers,44,19,25,0.432,52.5,37.6,82.5,0.456,5.5,15.9,0.344,23.3,31.5,0.741,13.3,31.8,45.1,21.2,18.1,10.2,5.8,5.6,25.0,26.7,104.0,2.4,27,19,15,18,12,8,4,16,4,6,8,29,29,20,10,22,17,4,6,28,18,12,20,3,15,18,10,Los Angeles Clippers,0,1996-97
